AREA,PERIMETER,MAJOR_AXIS,MINOR_AXIS,ECCENTRICITY,EQDIASQ,SOLIDITY,CONVEX_AREA,EXTENT,ASPECT_RATIO,ROUNDNESS,COMPACTNESS,SHAPEFACTOR_1,SHAPEFACTOR_2,SHAPEFACTOR_3,SHAPEFACTOR_4,CLASS
82671,1213.9036704301834,486.5730285644531,217.19114685058594,0.8948489590873002,324.4379546273843,0.9916891989763894,82844.0,0.22964166666666666,2.240298629203267,0.7050089101744473,17.82441389464106,0.7050089101744473,2.249224232467551,0.005885655532949318,0.3491862447772997,Kirmizi_Pistachio
85456,1244.8914774656296,512.4085693359375,214.32501220703125,0.9083228518281128,329.8574821568977,0.9929009999415239,85505.0,0.23737777777777777,2.3908015404238814,0.6929301162274835,18.135119718528344,0.6929301162274835,2.4131265002799727,0.005996168429787698,0.3254691220316572,Kirmizi_Pistachio
89986,1263.5605229139328,481.46783447265625,241.37637329101562,0.8652536332375149,338.4874202574423,0.9789862608790848,91345.0,0.2499611111111111,1.9946767279172521,0.7082599973981364,17.74259546003302,0.7082599973981364,2.0232497292470697,0.005350474901347501,0.38818646657608874,Kirmizi_Pistachio
70897,1109.0752425193787,433.5496826171875,209.64999389648438,0.8753077644831605,300.44777250478796,0.990332665893842,71167.5,0.19693611111111112,2.0679689732366726,0.7242953563872289,17.34978762951068,0.7242953563872289,2.0822830703954818,0.006115204911592698,0.3771812653926442,Kirmizi_Pistachio
89412,1218.5899620056152,469.2928466796875,248.6969451904297,0.8480352797787887,337.40612646165806,0.9895005817546164,89814.5,0.24836666666666668,1.8870068802829298,0.7566420629594309,16.60807828368504,0.7566420629594309,1.9345588281371482,0.0052486561835065485,0.40598308615599693,Kirmizi_Pistachio
79426,1186.5483309030533,470.2870178222656,221.9340057373047,0.8816457495236306,318.0067987954582,0.9876014695481827,79888.5,0.22062777777777778,2.119039920267683,0.7089272822085338,17.725895066713942,0.7089272822085338,2.1870220943926935,0.005921071410146118,0.3591176172436167,Kirmizi_Pistachio
84130,1244.5138432979584,460.9475402832031,237.84629821777344,0.856592023040406,327.2883176933898,0.974981046247157,85735.0,0.23369444444444445,1.9380059464333428,0.6825921497136458,18.40977898680917,0.6825921497136458,1.9835447190928914,0.0054789913263188295,0.39595687248060846,Kirmizi_Pistachio
84434,1217.57777094841,482.1204833984375,232.05010986328125,0.8765496484819568,327.87910534245503,0.9891228090861391,84810.5,0.23453888888888888,2.077656777161158,0.7157045971622797,17.558040935022607,0.7157045971622797,2.162139365258099,0.005710027754203728,0.3632504805275093,Kirmizi_Pistachio
60929,1048.9331076145172,377.34918212890625,206.00473022460938,0.8378333967592316,278.52686086115415,0.9779497380166893,61836.0,0.16924722222222222,1.8317500851435693,0.6958863658770444,18.058078488894424,0.6958863658770444,1.835492681116213,0.006193260715404918,0.4278950123188866,Kirmizi_Pistachio
62426,1119.1929941177368,363.8206481933594,217.74363708496094,0.8011290088406785,281.92774219582805,0.981394759154048,63100.5,0.17340555555555556,1.670866956499863,0.626275476730319,20.065244578897005,0.626275476730319,1.6653252228809003,0.005828030759513014,0.4716184878523382,Kirmizi_Pistachio
77187,1160.6488361358643,451.1808166503906,220.42124938964844,0.8725397953846212,313.49248912768707,0.9860079605445063,77758.5,0.21440833333333334,2.0469025463730053,0.720032907304089,17.452494860838435,0.720032907304089,2.0713189176451605,0.005845295407910537,0.37917780632755055,Kirmizi_Pistachio
79511,1169.27625310421,445.21026611328125,235.6381072998047,0.8484511164754779,318.1769153182511,0.9890259171153124,79870.0,0.2208638888888889,1.8893814384056133,0.7308072047759945,17.195192565474215,0.7308072047759945,1.9579112696577914,0.005599354380064158,0.40114083593518624,Kirmizi_Pistachio
